"행사ID","행사명","장소","행사내용","행사시작일자","행사종료일자","행사시작시각","행사종료시각","요금정보","입장연령","주차장보유여부","소재지도로명주소","소재지지번주소","위도","경도"
109,"(예술단) 춘천시립교향악단 실내악시리즈Ⅱ","축제극장몸짓","춘천시립교향악단 실내악시리즈 Ⅱ",22/08/25,22/08/25,"19:30","21:00","유료","만 7세 이상","Y","강원도 춘천시 춘천로 112","강원도 춘천시 효자동 531",37.873095,127.727817
110,"예술상점 공모선정 작가전 릴레이 개인전_ 이계진 개인전 <순간포착 삶의현장>","관천로 문화플랫폼 S1472","예술상점 공모 선정 작가전",24/01/13,24/03/03,"10:00","18:00","무료","전체","N","서울특별시 관악구 관천로 53","서울특별시 관악구 신림동 1472-1",37.48474926,126.9250817
111,"2024 관악아트홀 신년음악회_빈소년합창단","관악아트홀 공연장","빈소년합창단 내한 공연",24/01/28,24/01/28,"15:00","17:00","유료","만 8세 이상","Y","서울특별시 관악구 신림로3길 35","서울특별시 관악구 신림동 209-1",37.46759765,126.9448709
112,"예술상점 공모선정 작가전 릴레이 개인전_ 김교진 개인전 <우연한 순간들>","관천로 문화플랫폼 S1472","예술상점 공모 선정 작가전",24/03/09,24/04/28,"10:00","18:00","무료","전체","N","서울특별시 관악구 관천로 53","서울특별시 관악구 신림동 1472-1",37.48474926,126.9250817
113,"작품 발표 지원사업<위클리 1472>","관천로 문화플랫폼 S1473","작품 발표 지원사업",24/07/03,24/08/03,"10:00","18:00","무료","전체","N","서울특별시 관악구 관천로 53","서울특별시 관악구 신림동 1472-1",37.48474926,126.9250817
114,"2024 꿈의 댄스팀 정기공연 관악 으라차찬","관악아트홀 공연장","2024 꿈의 댄스팀 단원 정기공연",24/11/30,24/12/01,"19:30","21:00","무료","만 5세이상","Y","서울특별시 관악구 남부순환로234길 73","주소 X",37.47609625,126.9562881
115,"오페라와 함께하는 겨울 여행","해운홀","음악",23/01/06,23/01/06,"17:00","18:30","무료","7세 이상 관람가능","Y","부산광역시 해운대구 양운로 97","부산광역시 해운대구 좌동 1458-1",35.1711677,129.1739716
116,"부산닥터스클라리넷앙상블 제15회 정기연주회","해운홀","음악",23/01/13,23/01/13,"18:00","19:30","무료","7세 이상 관람가능","Y","부산광역시 해운대구 양운로 97","부산광역시 해운대구 좌동 1458-1",35.1711677,129.1739716
117,"최신영화 천문 상영","강진아트홀 대공연장","영화상영",20/01/31,20/01/31,"19:00","21:00","무료","12세 이상 관람가","Y","전라남도 강진군 강진읍 영랑로1길 9","주소 X",34.638136,126.7704992
118,"최신영화 백두산 상영","강진아트홀 대공연장","영화상영",20/05/14,20/05/14,"19:00","21:00","무료","15세이상 관람가","Y","전라남도 강진군 강진읍 영랑로1길 9","주소 X",34.638136,126.7704992
119,"최신영화 히트맨 상영","강진아트홀 대공연장","영화상영",20/05/28,20/05/28,"19:00","21:00","무료","15세이상 관람가","Y","전라남도 강진군 강진읍 영랑로1길 9","주소 X",34.638136,126.7704992
120,"최신영화 남산의 부장들 상영","강진아트홀 대공연장","영화상영",20/06/11,20/06/11,"19:00","21:00","무료","15세이상 관람가","Y","전라남도 강진군 강진읍 영랑로1길 9","주소 X",34.638136,126.7704992
121,"최신영화 정직한 후보 상영","강진아트홀 대공연장","영화상영",20/06/26,20/06/26,"19:00","21:00","무료","12세 이상 관람가","Y","전라남도 강진군 강진읍 영랑로1길 9","주소 X",34.638136,126.7704992
122,"최신영화 살이있다 상영","강진아트홀 대공연장","영화상영",20/08/05,20/08/05,"19:00","21:00","무료","15세이상 관람가","Y","전라남도 강진군 강진읍 영랑로1길 9","주소 X",34.638136,126.7704992
123,"뮤지컬 이상한 나라의 앨리스","강진아트홀 대공연장","뮤지컬 공연",20/08/11,20/08/11,"19:00","21:00","무료","제한없음","Y","전라남도 강진군 강진읍 영랑로1길 9","주소 X",34.638136,126.7704992
124,"태혜신무용단 공연","강진아트홀 대공연장","무용 공연",20/08/20,20/08/20,"19:00","21:00","무료","제한없음","Y","전라남도 강진군 강진읍 영랑로1길 9","주소 X",34.638136,126.7704992
125,"굿보러 가자 공연","강진아트홀 대공연장","국악 공연",20/09/25,20/09/25,"19:00","21:00","무료","제한없음","Y","전라남도 강진군 강진읍 영랑로1길 9","주소 X",34.638136,126.7704992
126,"최신영화 반도 상영","강진아트홀 대공연장","영화상영",20/10/22,20/10/22,"19:00","21:00","무료","15세이상 관람가","Y","전라남도 강진군 강진읍 영랑로1길 9","주소 X",34.638136,126.7704992
127,"최신영화 결백 상영","강진아트홀 대공연장","영화상영",20/11/05,20/11/05,"19:00","21:00","무료","12세 이상 관람가","Y","전라남도 강진군 강진읍 영랑로1길 9","주소 X",34.638136,126.7704992
128,"퓨전국악 콘서트","강진아트홀 대공연장","국악 공연",20/11/17,20/11/17,"19:00","21:00","무료","제한없음","Y","전라남도 강진군 강진읍 영랑로1길 9","주소 X",34.638136,126.7704992
129,"트롯콘서트","강진아트홀 대공연장","음악 공연",20/11/19,20/11/19,"19:00","21:00","무료","제한없음","Y","전라남도 강진군 강진읍 영랑로1길 9","주소 X",34.638136,126.7704992
130,"최신영화 담보 상영","강진아트홀 대공연장","영화상영",20/03/16,21/03/16,"19:00","21:00","무료","12세 이상 관람가","Y","전라남도 강진군 강진읍 영랑로1길 9","주소 X",34.638136,126.7704992
131,"신춘음악회","강진아트홀 대공연장","음악 공연",21/03/30,21/03/30,"19:00","21:00","무료","제한없음","Y","전라남도 강진군 강진읍 영랑로1길 9","주소 X",34.638136,126.7704992
132,"광주오페라단 공연","강진아트홀 대공연장","음악 공연",21/04/01,21/04/01,"19:00","21:00","무료","제한없음","Y","전라남도 강진군 강진읍 영랑로1길 9","주소 X",34.638136,126.7704992
133,"최신영화 미션파서블 상영","강진아트홀 대공연장","영화상영",21/04/08,21/04/08,"19:00","21:00","무료","15세이상 관람가","Y","전라남도 강진군 강진읍 영랑로1길 9","주소 X",34.638136,126.7704992
134,"최신영화 새해전야 상영","강진아트홀 대공연장","영화상영",21/04/27,21/04/27,"19:00","21:00","무료","12세 이상 관람가","Y","전라남도 강진군 강진읍 영랑로1길 9","주소 X",34.638136,126.7704992
135,"최신영화 자산어보 상영","강진아트홀 대공연장","영화상영",21/05/18,21/05/18,"19:00","21:00","무료","15세이상 관람가","Y","전라남도 강진군 강진읍 영랑로1길 9","주소 X",34.638136,126.7704992
136,"마당극 언젠가 봄날에 공연","강진아트홀 야외무대","마당극 공연",21/05/25,21/05/25,"19:00","21:00","무료","제한없음","Y","전라남도 강진군 강진읍 영랑로1길 9","주소 X",34.638136,126.7704992
137,"코리안심포니오케스트라 공연","강진아트홀 대공연장","음악 공연",21/05/27,21/05/27,"19:00","21:00","무료","제한없음","Y","전라남도 강진군 강진읍 영랑로1길 9","주소 X",34.638136,126.7704992
138,"코믹연극 그놈은 예뻤다.","강진아트홀 대공연장","연극",19/12/17,19/12/07,"19:00","21:00","유료","제한없음","Y","전라남도 강진군 강진읍 영랑로1길 9","주소 X",34.638136,126.7704992
1,"초록미술 전시회","제2전시실","전시",23/04/14,23/04/15,"09:00","20:00","무료","제한 X","Y","부산광역시 해운대구 양운로 97","부산광역시 해운대구 좌동 1458-1",35.1711677,129.1739716
2,"하유전","제2전시실","전시",23/04/17,23/04/23,"09:00","20:00","무료","제한 X","Y","부산광역시 해운대구 양운로 97","부산광역시 해운대구 좌동 1458-1",35.1711677,129.1739716
3,"이정희 개인전","제2전시실","전시",23/04/29,23/05/03,"09:00","20:00","무료","제한 X","Y","부산광역시 해운대구 양운로 97","부산광역시 해운대구 좌동 1458-1",35.1711677,129.1739716
4,"손유하 개인전","제2전시실","전시",23/05/04,23/05/12,"09:00","20:00","무료","제한 X","Y","부산광역시 해운대구 양운로 97","부산광역시 해운대구 좌동 1458-1",35.1711677,129.1739716
5,"진은정 작가 외 그룹전시회","제2전시실","전시",23/05/13,23/05/20,"09:00","20:00","무료","제한 X","Y","부산광역시 해운대구 양운로 97","부산광역시 해운대구 좌동 1458-1",35.1711677,129.1739716
6,"양시온 개인전","제2전시실","전시",23/05/21,23/05/25,"09:00","20:00","무료","제한 X","Y","부산광역시 해운대구 양운로 97","부산광역시 해운대구 좌동 1458-1",35.1711677,129.1739716
7,"2023 박일철 개인전 나비의 꿈","제2전시실","전시",23/05/26,23/06/01,"09:00","20:00","무료","제한 X","Y","부산광역시 해운대구 양운로 97","부산광역시 해운대구 좌동 1458-1",35.1711677,129.1739716
8,"제 5회 스토리아트 아이들의 ART STORY","제2전시실","전시",23/06/02,23/06/06,"09:00","20:00","무료","제한 X","Y","부산광역시 해운대구 양운로 97","부산광역시 해운대구 좌동 1458-1",35.1711677,129.1739716
9,"캘리(Calligraphy)와 젠탱글(Zentangle)의 만남","제2전시실","전시",23/06/07,23/06/10,"09:00","20:00","무료","제한 X","Y","부산광역시 해운대구 양운로 97","부산광역시 해운대구 좌동 1458-1",35.1711677,129.1739716
10,"이상하게 끌리는 paperflower artcraft","제2전시실","전시",23/06/12,23/06/18,"09:00","20:00","무료","제한 X","Y","부산광역시 해운대구 양운로 97","부산광역시 해운대구 좌동 1458-1",35.1711677,129.1739716
11,"쌈지사랑 규방공예연구소 아라미 연구 회원전-보자기, 시간을 품다","제2전시실","전시",23/06/20,23/06/25,"09:00","20:00","무료","제한 X","Y","부산광역시 해운대구 양운로 97","부산광역시 해운대구 좌동 1458-1",35.1711677,129.1739716
12,"김준호 개인전<시간의 바다-상상의 여정>","제2전시실","전시",23/06/26,23/06/30,"09:00","20:00","무료","제한 X","Y","부산광역시 해운대구 양운로 97","부산광역시 해운대구 좌동 1458-1",35.1711677,129.1739716
13,"마법미술관 꿈꾸는 눈, 창의적인 손","제2전시실","전시",23/07/07,23/08/27,"09:00","20:00","무료","제한 X","Y","부산광역시 해운대구 양운로 97","부산광역시 해운대구 좌동 1458-1",35.1711677,129.1739716
14,"해운마당 정기 전시회","제2전시실","전시",23/09/01,23/09/09,"09:00","20:00","무료","제한 X","Y","부산광역시 해운대구 양운로 97","부산광역시 해운대구 좌동 1458-1",35.1711677,129.1739716
15,"신라대학교 실내 건축 디자인 전공 졸업작품 전시회","제2전시실","전시",23/09/10,23/09/14,"09:00","20:00","무료","제한 X","Y","부산광역시 해운대구 양운로 97","부산광역시 해운대구 좌동 1458-1",35.1711677,129.1739716
16,"앰비규어스 픽쳐스 드론사진 전시회","제2전시실","전시",23/09/15,23/09/21,"09:00","20:00","무료","제한 X","Y","부산광역시 해운대구 양운로 97","부산광역시 해운대구 좌동 1458-1",35.1711677,129.1739716
17,"다빈치 미술전시회","제2전시실","전시",23/09/22,23/09/24,"09:00","20:00","무료","제한 X","Y","부산광역시 해운대구 양운로 97","부산광역시 해운대구 좌동 1458-1",35.1711677,129.1739716
18,"아들, [   ]자라다","제2전시실","전시",23/09/25,23/09/27,"09:00","20:00","무료","제한 X","Y","부산광역시 해운대구 양운로 97","부산광역시 해운대구 좌동 1458-1",35.1711677,129.1739716
19,"지구사랑 실천","제2전시실","전시",23/10/02,23/10/08,"09:00","20:00","무료","제한 X","Y","부산광역시 해운대구 양운로 97","부산광역시 해운대구 좌동 1458-1",35.1711677,129.1739716
20,"제5회 남경 서회전","제2전시실","전시",23/10/10,23/10/14,"09:00","20:00","무료","제한 X","Y","부산광역시 해운대구 양운로 97","부산광역시 해운대구 좌동 1458-1",35.1711677,129.1739716
21,"아동 그림전시","제2전시실","전시",23/10/15,23/10/15,"09:00","20:00","무료","제한 X","Y","부산광역시 해운대구 양운로 97","부산광역시 해운대구 좌동 1458-1",35.1711677,129.1739716
22,"노인지도사직무교육","삼척문화예술회관 소공연장","노인지도사직무교육",22/10/11,22/10/11,"10:00","12:00","무료","전연령","Y","강원특별자치도 삼척시 엑스포로 45","강원특별자치도 삼척시 성남동1-5",37.43896231,129.160162
23,"여여회 도자기 회원전","삼척문화예술회관 전시실","여여회 도자기 회원전",22/10/13,22/10/16,"10:00","18:00","무료","전연령","Y","강원특별자치도 삼척시 엑스포로 45","강원특별자치도 삼척시 성남동1-5",37.43896231,129.160162
24,"제28회 삼척시민의날 행사","삼척문화예술회관 대공연장","제28회 삼척시민의날 행사",22/10/14,22/10/14,"10:00","12:00","무료","전연령","Y","강원특별자치도 삼척시 엑스포로 45","강원특별자치도 삼척시 성남동1-5",37.43896231,129.160162
25,"제13회 평생학습축제 및 제3회 책축제","삼척문화예술회관 일원","제13회 평생학습축제 및 제3회 책축제",22/10/22,22/10/23,"10:00","18:00","무료","전연령","Y","강원특별자치도 삼척시 엑스포로 45","강원특별자치도 삼척시 성남동1-5",37.43896231,129.160162
26,"연극 fighters","삼척문화예술회관 소공연장","연극 fighters",22/10/26,22/10/26,"19:30","21:00","무료","전연령","Y","강원특별자치도 삼척시 엑스포로 45","강원특별자치도 삼척시 성남동1-5",37.43896231,129.160162
27,"제3회 삼척시 보훈단체 안보결의대회","삼척문화예술회관 대공연장","제3회 삼척시 보훈단체 안보결의대회",22/10/27,22/10/27,"10:00","14:00","무료","전연령","Y","강원특별자치도 삼척시 엑스포로 45","강원특별자치도 삼척시 성남동1-5",37.43896231,129.160162
28,"삼척시의회 의정비결정 주민공청회","삼척문화예술회관 소공연장","삼척시의회 의정비결정 주민공청회",22/10/28,22/10/28,"10:00","12:00","무료","전연령","Y","강원특별자치도 삼척시 엑스포로 45","강원특별자치도 삼척시 성남동1-5",37.43896231,129.160162
29,"삼척 천은사의 역사와 불교유산 학술대회","삼척문화예술회관 소공연장","삼척 천은사의 역사와 불교유산 학술대회",22/10/28,22/10/28,"13:00","17:30","무료","전연령","Y","강원특별자치도 삼척시 엑스포로 45","강원특별자치도 삼척시 성남동1-5",37.43896231,129.160162
30,"삼척연안미술행동 전시","삼척문화예술회관 전시실","삼척연안미술행동 전시",22/10/28,22/11/04,"09:00","18:00","무료","전연령","Y","강원특별자치도 삼척시 엑스포로 45","강원특별자치도 삼척시 성남동1-5",37.43896231,129.160162
31,"가족매직쇼 공룡애니멀 쇼","삼척문화예술회관 대공연장","가족매직쇼 공룡애니멀 쇼",22/10/29,22/10/29,"11:00","17:00","유료","24개월이상","Y","강원특별자치도 삼척시 엑스포로 45","강원특별자치도 삼척시 성남동1-5",37.43896231,129.160162
32,"산불종사원 안전보건교육","삼척문화예술회관 소공연장","산불종사원 안전보건교육",22/11/01,22/11/01,"09:00","18:00","무료","전연령","Y","강원특별자치도 삼척시 엑스포로 45","강원특별자치도 삼척시 성남동1-5",37.43896231,129.160162
33,"근로자 산업안전보건 교육","삼척문화예술회관 소공연장","근로자 산업안전보건 교육",22/11/02,22/11/03,"10:00","16:00","무료","전연령","Y","강원특별자치도 삼척시 엑스포로 45","강원특별자치도 삼척시 성남동1-5",37.43896231,129.160162
34,"한국통가마협회회원전","삼척문화예술회관 전시실","한국통가마협회회원전",22/11/02,22/11/10,"09:00","18:00","무료","전연령","Y","강원특별자치도 삼척시 엑스포로 45","강원특별자치도 삼척시 성남동1-5",37.43896231,129.160162
35,"윤승업오케스트라와 함께하는 양수경의 사랑하세요","삼척문화예술회관 대공연장","윤승업오케스트라와 함께하는 양수경의 사랑하세요",22/11/12,22/11/02,"17:00","19:00","유료","만7세이상","Y","강원특별자치도 삼척시 엑스포로 45","강원특별자치도 삼척시 성남동1-5",37.43896231,129.160162
