"축제ID","축제명","개최장소","축제시작일자","축제종료일자","축제내용","홈페이지주소","소재지도로명주소","소재지지번주소","위도","경도"
1,"강릉커피축제","강릉대도호부 관아지 등",22/10/06,22/10/09,"커피경연대회(바리스타+핸드드립+커핑+마카롱)+커피체험(로스팅+추출+커핑+공예품 등)+전시+공연 등","http://www.coffeefestival.net","강원도 강릉시 임영로131번길 6 (용강동)","강원도 강릉시 용강동 58-1",37.75294455,128.8919029
2,"전국생활문화축제 in강릉","강릉명주예술마당",22/10/27,22/10/30,"전국 생활문화 활동 발표+기획 프로그램 등","홈페이지 정보 없음","강원도 강릉시 경강로 2021번길9-1","강원도 강릉시 명주동 49-1",37.75040333,128.8898121
3,"2022 강릉와인축제","강릉 월화거리 일원(문선빌딩 방면)",22/12/09,22/12/11,"도전 와인 골든벨+선셋 와인 아워+시음존 등 운영","https://www.gncaf.or.kr/contents.asp?page=482","강원도 강릉시 경강로 2111","강원도 강릉시 임당동 106-1",37.7558922453,128.8974692754
4,"2022 강릉누들축제","강릉 월화거리 일원(홈플러스 방면)",22/12/16,22/12/18,"누들 쿠킹쇼, 쿠킹클래스, 시식회, 대형 수제비 만들기 등","홈페이지 정보 없음","강원도 강릉시 경강로 2112","강원도 강릉시 임당동 113-2",37.7553861171,128.8981649115
5,"구례산수유꽃축제","산동면",23/03/11,23/03/19,"산수유꽃 프로그램","https://www.gurye.go.kr/tour/detail.do?tourId=TOUR_0000000100&menuNo=104001002000","주소 X","전라남도 구례군 산동면 좌사리 831",35.318767,127.4705342214
6,"마곡사 신록축제","사곡면 운암리 마곡사일원",22/05/07,22/05/08,"전시 운영+백범명상길 걷기+마곡사 보물찾기 등","홈페이지 정보 없음","충청남도 공주시 사곡면 마곡사로 966 마곡사","충청남도 공주시 사곡면 운암리 567",36.55740589,127.011603
7,"제68회 백제문화제","금강신관공원",22/10/01,22/10/10,"웅진성퍼레이드+체험마당+무대공연+농특산품전시 및 판매","https://www.baekje.org/kor/","충청남도 공주시 신관동 553","충청남도 공주시 신관동 553",36.47835102,127.1204236
8,"제5회 겨울공주 군밤축제","온라인",22/01/29,22/02/20,"알밤 토크콘서트+공주알밤 디저트 UCC공모전+휴게소 홍보 등","홈페이지 정보 없음","충청남도 공주시 금학동 111-1","충청남도 공주시 금학동 111-1",36.43336915,127.124038
9,"제1회 유구색동수국정원 꽃축제","유구색동수국정원",22/06/17,22/06/19,"공식+기획 행사+경관조성+체험프로그램+편의시설 운영 등","홈페이지 정보 없음","주소 X","충청남도 공주시 유구읍 유구리 648-17",36.5555032985,126.9543952096
10,"보이지 않아도 보이는","KT&G 상상마당 춘천 1전시실+KT&G 상상마당 춘천 2전시실",22/07/13,22/07/17,"전시장에서 작품을 관람하고자 할 때, 종종 만지지 마세요 눈으로만 보세요.’ 라는 글귀가 있다. 그러면 작품을 볼 수 없는 시작장애인에게 작품 감상은 불가능하다. 이번 전시는 장애인과 같이 문화적 소외자들에게도 작품 감상의 기회를 만들어 시각 예술 분야의 한계성을 극복해보고자 하는 전시이다.","https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10597&search_type=1&search_keyword=EBB3B4EC9DB4ECA780+EC958AEC9584EB8F84+EBB3B4EC9DB4EB8A94","강원도 춘천시 스포츠타운길399번길 25 어린이회관","강원도 춘천시 삼천동 223-2 어린이회관",37.874066,127.702455
11,"Creative energy_김정현 개인展","춘천미술관",22/07/01,22/07/06,"김정현 개인전","https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10594&search_type=1&search_keyword=Creative+energy_EAB980ECA095ED9884+EAB09CEC9DB8E5B195","강원도 춘천시 서부대성로 71","강원도 춘천시 옥천동 73-2",37.88237413,127.73132
12,"2022년 강원PAX아라리 제 3회 정기연주회","국립춘천박물관 중앙홀",22/06/29,22/06/29,"강원팍스아라리 주관으로 수원대학교 교수 박영란 작곡가에게 위촉한 6곡의 아리랑을 피아노(4명의 피아니스트)와 국악기(7명의 국악기 연주자)가 함께 앙상블로 연주한다. 국악과 양악의 콜라보레이션으로서, 한국 전통 민요인 아리랑을 새롭게 재창조하며 다채로운 해석을 통하여 대중적으로 다가가는 공연이 될 것이다.","https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10591&search_type=1&search_keyword=2022EB8584+EAB095EC9B90PAXEC9584EB9DBCEBA6AC+ECA09C+3ED9A8C+ECA095EAB8B0EC97B0ECA3BCED9A8C","강원도 춘천시 우석로 70 국립춘천박물관","강원도 춘천시 석사동 95-3",37.86401877,127.7521907
13,"제4회 대청호 벚꽃축제","신상동 벚꽃한터 일원",22/04/08,22/04/10,"벚꽃 아트길+온라인 공연+경연대회","https://www.donggu.go.kr/dg/tour/contents/988","주소 X","대전광역시 동구 신상동 282",36.35359044,127.4980431
14,"제5회 대청호 벚꽃축제","신상동 벚꽃한터 일원",23/04/07,23/04/09,"벚꽃콘서트+경연대회+푸드트럭+체험프로그램 등","https://www.donggu.go.kr/dg/tour/contents/988","주소 X","대전광역시 동구 신상동 282",36.35359044,127.4980431
15,"동두천 청소년 별자리과학 축제","종합운동장",23/10/21,23/10/21,"경기북부지역 청소년들의 과학과 수학에 대한 자신감과 흥미유발","http://www.ddc.go.kr","경기도 동두천시 어등로 45","경기도 동두천시 생연동 70",37.90083977,127.0704987
16,"동두천락페스티벌","소요산 주차장 야외특설무대",23/08/25,23/08/26,"전국락밴드경연 및 락 뮤지션 초청공연","https://www.ddc.go.kr/tour/contents.do?key=269","주소 X","경기도 동두천시 상봉암동 산 1-5",37.93877612,127.0857429
17,"2023 제7회 이담농악두드림대축제","동두천 시민회관 공연장",23/07/22,23/07/22,"동두천시 무형문화재 제3호 이담농악보존회에서 주관하는 축제","http://www.ddc.go.kr","경기도 동두천시 중앙로 268","경기도 동두천시 생연동 594-1",37.90543939,127.0546796
18,"제4회 동두천 국제 트레일러닝 대회","종합운동장",23/04/29,23/04/29,"천혜의 자연 경관을 바탕으로 명실상부한 국내 최고의 트레일러닝대회","http://www.korea50k.com","경기도 동두천시 어등로 45","경기도 동두천시 생연동 70",37.90083977,127.0704987
19,"상패남산축제","상패동 행정복지센터 주차장",23/09/09,23/09/09,"공연+체험+먹거리장터 등","http://www.ddc.go.kr","경기도 동두천시 어수로 8","경기도 동두천시 상패동 122-2",37.90537169,127.0442776
42,"제주 광어대축제","제주어류양식수협 특별행사부스",23/10/14,23/10/22,"광어를 소재로 한 국내 유일의 행사로써 제주 광어의 우수성과 안정성을 소개하고 홍보하는 축제이다.","홈페이지 정보 없음","제주특별자치도 제주시 연삼로 166","주소 X",33.503977,126.5491571
43,"JEMI페스타","제주영상·문화산업진흥원 일대",23/10/21,23/10/22,"제주의 JEMI있는 콘텐츠를 발굴하는 연구소 ’제주콘텐츠코리아랩’의 콘텐츠 기업을 만날 수 있는 ’JEMI페스타’가 개최된다. 이번 JEMI페스타에는 32개 팀의 도내 콘텐츠기업과 예비창업자들이 참여해 다양한 미션존·체험존·전시존이 운영된다.","jejuckl.kr/community/photo.htm?act=view&seq=580","제주특별자치도 제주시 신산로 82","주소 X",33.50548585,126.5347396
44,"흥부제","사랑의 광장 일원+아영면 성리 흥부묘+인월면",23/10/07,23/10/09,"흥부마을터울림+다양한 공연 및 홍보 등","홈페이지 정보 없음","전라북도 남원시 양림길 12","전라북도 남원시 어현동 37-19",35.40248095,127.3861268
45,"지리산 뱀사골 단풍제","산내면 부운리 지리산국립공원",23/10/21,23/10/21,"단풍제(산신제)+체험행사(단풍길 걷기, 보물찾기 등)+지리산 풍경 사진전+공연단 공연","홈페이지 정보 없음","전라북도 남원시 산내면 와운길 10","전라북도 남원시 산내면 부운리 252",35.37179767,127.5791353
46,"백운계곡 뜬구름 축제","백운계곡 일대",22/04/30,22/05/22,"장작패기+무술체험+포천쿠키만들기+레트로포토존+뜬구름빵+행운쿠기체험 등","홈페이지 정보 없음","경기도 포천시 이동면 포화로148","주소 X",38.0700747348,127.4018615976
47,"억새꽃 축제","산정호수+명성산 일대",22/10/15,22/11/20,"작은버스킹+1년 후에 받는 편지 등","홈페이지 정보 없음","경기도 포천시 영북면 산정호수로411번길 89","주소 X",38.0688660963,127.3221100828
48,"포천 백운계곡 동장군 축제","백운계곡 일대",22/12/24,23/02/05,"ICE BIG TREE 포토존+얼음조각작품 전시+튜브 눈썰매+송어얼음 낚시","홈페이지 정보 없음","경기도 포천시 이동면 화동로 2381","주소 X",38.0547745,127.383869
49,"도봉 과학축전","도봉구청 로비, 아뜨리움, 대강당, 광장 등",15/10/23,15/10/28,"과학 체험· 전시·교육·이벤트 마당 등","http://science.dobong.go.kr","서울특별시 도봉구 마들로 656","주소 X",37.6686287,127.0470496
50,"제13회 남한강축제","법천소공원",23/07/29,23/07/30,"문화예술공연+노래자랑 등","홈페이지 정보 없음","강원도 원주시 부론면 앙암로 1234","강원도 원주시 법천리 1575-1",37.20602239,127.7482249
51,"치악산찰옥수수축제","문막체육공원",23/07/01,23/07/01,"지역 옥수수 판매 및 농특산물 직거래장터 운영 등","홈페이지 정보 없음","주소 X","강원도 원주시 문막읍 문막리 329-45",37.3087155,127.8115249
52,"치악산복숭아축제","댄싱공연장 일원",23/08/01,23/08/01,"지역 복숭아 판매+품평회+기타 등","홈페이지 정보 없음","강원도 원주시 단구로 170","강원도 원주시 명륜동 345",37.3364295,127.9462614
